clause_text,count
"Performance, Compensation & Benefits information, for example: ● performance ratings, evaluations, and assessments; ● equity awards or stock; ● pension and other insurance documentation; DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 19 ● payroll details; ● vacation records; ● working time records.",4
"If any declaration given, or information furnished by you, to the company proves to be false, or if you are found to have willfully suppressed any material information, in such cases, you will be liable to removal from services without any notice.",4
"By accepting our offer, you expressly consent to the following: (i) the collection, use, processing and storage of your SPDI; (ii) the transfer worldwide of your SPDI held by the Company to other employees and offices of the Company’s worldwide organisation and to third parties where disclosure to such third parties is required in the normal course of business or by law; (iii) that you shall have read and understood the Company’s privacy policy, as and when implemented, in relation to the collection, processing, use, storage and transfer of SPDI and you agree to the terms thereof; (iv) use of your personal images and voices in marketing material, videos, etc.; and (v) treating any personal data to which you have access in the course of your employment strictly in accordance with Company policies and procedures and not using any such data other than in connection with and except to the extent necessary for the purposes for which it was disclosed to you.",4
Basic Salary House rent allowance Medical allowance Leave travel allowance Additional Bene7its Performance incentive PF Contribution ESI Contribution Stock Option Car Telephone Schedule II -­‐ Employee Du7es & Responsibili7es Du7es: Responsibili7es:,4
"Applicability of Company Policy The Company shall be enCtled to make policy declaraCons from Cme to Cme pertaining to ma^ers like leave enCtlement, maternity leave, employees’ benefits, working hours, transfer policies, etc., and may alter the same from Cme to Cme at its sole discreCon.",4
"Notwithstanding the condition regarding written notice of termination and without prejudice to Wipro’s right to enforce the Training agreement, Wipro shall have the right to terminate your academic study without any notice or payment of scholarship in lieu thereof, if any declaration given or information furnished by you to WILP Wipro is found to be false or if you are found to have willfully suppressed any material information.",4
"Notwithstanding the condition regarding written notice of termination and without prejudice to Wipro’s right to enforce the Training agreement, Wipro shall have the right to terminate your academic study without any notice or payment of scholarship in lieu thereof, if any declaration given or information furnished by you to WILP/ Wipro is found to be false or if you are found to have willfully suppressed any material information.",4
"Therefore, please maintain all Confidential Information as defined from time to time in the Confidentiality Policy of Wipro, as secret and confidential and do not use or disclose any such Confidential Information except as may be required under obligation of law or as may be required by Wipro and in the course of your enrolment.",4
"PARTICULARS INR Per Annum (i) BASIC 475,000 (ii) HOUSE RENT ALLOWANCE 237,500 (iii) BROADBAND AND TELEPHONE ALLOWANCE 36,000 (iv) LEAVE TRAVEL ALLOWANCE 39,583 (v) PROFESSIONAL DEVELOPMENT ALLOWANCE 144,000 (vi) FUEL AND MAINTENANCE ALLOWANCE 28,800 (vii) DRIVER ALLOWANCE 10,800 (viii) SPECIAL ALLOWANCE 8,71,317 TOTAL BASE COMPENSATION 18,43,000 (ix) TEKION’S CONTRIBUTION TO PROVIDENT FUND 57,000 TOTAL COST TO THE COMPANY 1,900,000",4
The company will have the right to terminate your employment without notice or payment of salary in lieu thereof if -You commit any breach of your duties and responsibilities under this contract of service.,4
"During your training on projects at Wipro, you will be expected not to use or disclose any confidential information, including trade secrets, of any former employer (if any) or other person with whom you have an obligation of confidentiality and by signing below you affirm that you have no conflicting obligations or noncompete agreements that would prevent you from working without limitation for Wipro.",4
"If the charges against you are proved to be true, your enrolment may be immediately cancelled , without any notice or payment of scholarship in lieu of notice not withstanding any clause of this letter of enrolment.",4
"The Company may, at its sole option, pay salary in lieu of the notice period to terminate employment with immediate effect.",4
"Such contributions, taxes, dues and levies where required, shall be deducted from your Scholarship and benefits according to applicable laws and regulations.",4
"Please note that at any stage, whether during your selection process or upon enrolment with the WILP, if it is brought to our notice that you have indulged in malpractices or used illegal means to clear your online assessment, Wipro shall withdraw or revoke the enrolment and cancel the same with immediate effect and we reserve our rights to take suitable action against you as we may deem fit.",4
"Agreed to and accepted by: {{CANDIDATE_SIGNATURE}} Ekta Shukla Date: {{CANDIDATE_SIGNATURE_DATE}} DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 September 28, 2021 GOC Confidential • 16 APPENDIX B Compensation Breakdown, Job Offer Annexure GOC Services India Private Limited Date: November 22, 2021 Employee Name: Ekta Shukla Component Annualised Calculation INR (Rs.) a year Basic Salary (A) INR 252,012.00 HRA (B) A* 40% INR 100,805.00 Basket of Allowances1 (C) D-(A+B) INR 60,183.00 Base Salary (D) A+B+C INR 413,000.00 Estimated Annual Target Bonus2 (E) 10% target * D INR 41,300.00 Annual Target Total Compensation3 (F) D + E INR 454,300.00 Provident Fund (Employer Contribution)4 (G) A*12% INR 30,241.00 Gratuity5 (H) A*0.048 INR 12,097.00 Retirals Total (I) G + H INR 42,338.00 Annual Estimated Cost to Company (CTC)6 (J) F + I INR 496,638.00",4
"Salary deductions You agree that the Company may at any time during your employment or on termination deduct from your compensation any amounts that you owe the Company including but not limited to overpayment or advances of wages or expenses, outstanding loans, relocation or other allowances/ bonuses which may be subject to repayment under this Agreement, or excess holiday to which you were not entitled or payment made when you were absent from duty without authorization.",4
"Probation Period You will be on probation for a period of 6 (Six) months from the date of your joining the Company, where after, if your services are found satisfactory, you will be confirmed by means of a written intimation.",4
You also agree that failure to return the property of the Company upon termination shall be deemed to be criminal breach of trust.,4
"Upon resignation/termination of employment, you will immediately hand over to the Company all correspondence, specifications, formulae, books, documents, market data, cost data, drawings, affects or records belonging to the Company or relating to its business and shall not retain or make copies of these items.",4
"Duties and Responsibilities You shall perform the duties and undertake responsibilities within the mandate of work place and office policies of the Company, as modified from time to time, at the discretion of the Company, and shall use sincere and dedicated efforts to effectively carry out all duties and responsibilities assigned to you by the manager/supervisor and others authorized by the Company to assign such duties and responsibilities.",4
Governing Law and Jurisdiction Your employment with the Company shall be governed and construed in accordance with the laws of India.,4
"Consequences of Termination of Employment You hereby agree that upon termination of this Agreement by either of the Company or you, you shall return all the properties belonging to the Company in its possession as per the instructions of the Company and hand over charge to the designated representative of the Company.",4
"However, Tekion India Private Limited | #680, Fortuna-1, 8th Main, 15th Cross, JP Nagar 2nd Phase, Bangalore -560078, India www.tekion.com | www.linkedin.com/company/tekion/ | @tekioncorp | CIN: U72500KA2016FTC093023 depending on the time constraints within which the Company may have to provide services to its clients, you will undertake to make yourself available in respect of the business of the Company during such times.",4
"Confidentiality You will not, at any time, during the employment or after, without the consent of the Management disclose or divulge or make public, except on legal obligations, any information regarding the Company’s affairs or administration or research carried out, whether the same is confided to you or becomes known to you in the course of your service or otherwise.",4
We look forward to working with you.,4
"Termination of Services:  If at any time during the course of your employment, it is found that you have made a false or an incomplete declaration with regard to your qualification / experience and other detail, your appointment will be treated void with immediate effect without any payment in lieu of notice period.",4
You shall not be eligible to avail leave during the notice period.,3
"As indicated on the job application you completed, YOUR EMPLOYMENT AND COMPENSATION WITH ABC COMPANY ARE ""AT-WILL,"" MEANING THAT EITHER THE EMPLOYER OR THE EMPLOYEE CAN TERMINATE THE EMPLOYMENT RELATIONSHIP AT ANY TIME, FOR ANY OR NO REASON, WITH OR WITHOUT CAUSE AND WITH OR WITHOUT ADVANCE NOTICE.",3
The probation period may be different to the minimum employment period for unfair dismissal applications.,3
"As indicated on the job application you completed, YOUR EMPLOYMENT AND COMPENSATION WITH THE COMPANY ARE “AT-WILL,” MEANING THAT EITHER THE EMPLOYER OR THE EMPLOYEE CAN TERMINATE THE EMPLOYMENT RELATIONSHIP AT ANY TIME, FOR ANY OR NO REASON, WITH OR WITHOUT CAUSE AND WITH OR WITHOUT ADVANCE NOTICE.",3
" You shall use the Company name, Logos trademarks or other identifiers strictly in the manner permitted by the Company’s policies or for the purposes of provision of Services delegated to you to the extent required.",3
 The Company may terminate / suspend your services at its discretion at any time immediately upon written notice to you if it has been alleged and prima facie established through preliminary internal inquiry that you have committed (i) any heinous criminal act or any offense involving moral turpitude.,3
"b Your employment may be terminated by the Company without notice or payment in lieu of notice if you commit any serious or persistent breach or non-observance of the terms, conditions or stipulations contained in this Agreement, or are guilty of any serious negligence or misconduct in connection with or affecting the business or affairs of the Company.",3
"During the probation period or the extended period of probation, an Employee will be liable to be discharged from the company's services at any time with 15 days prior notice and without assigning any reason.",3
"DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 11 18.c You confirm that you have read and understand the provisions of the GOC Code of Conduct and Business Courtesies Policy prohibiting foreign bribery and improper payments and requiring strict compliance with the United States Foreign Corrupt Practices Act (“FCPA”), and agree to fully comply with those provisions and the FCPA and the corresponding laws of any other jurisdiction where applicable to your employment by the Company.",3
The contract may be terminated with one month’s notice from either side or on payment of one months salary.,3
"On confirmation, this appointment may be terminated by either side by giving one months’ notice or one months’ salary in lieu of notice period.",3
"This means that your duties and obligations, including in relation to confidential information, intellectual property and non-solicitation, apply not only to the Company but also to our Related Corporations.",3
"Dec 2021 4 Candidate’s Signature ____________ Total Cash Compensation Elements Annual (INR) (A) Annual Fixed Compensation 3,00,000 (B) Local Variable Bonus (LVB) earning potential (at maximum 8.5%) 25,500 Maximum Annual Total earning potential (A+B) 3,25,500 (C) Additional Notional Benefits # (C) Gratuity as per law + Benefits 8,000 Annual Total Earning Potential + Additional Notional Benefits (A+B+C) 3,33,500 *As defined by applicable law from time to time.",3
"If any of the facts stated therein are found to be false, you senvice will be terminated immediately without any notice or any compensation in lieu of the notice period.",3
"In the unlikely event you choose to leave the Company, or your services are terminated, before the completion of one (1) year of employment with the Company, the relocation assistance will be construed as debt due and payable by you and should be repaid on termination of your employment.",3
"If any information furnished or declaration given by you in regard to your employment to the Company is found to be false or any material information willfully suppressed, your appointment would be liable for termination without any notice or compensation.",3
"If the Company or the appropriate person fails to obtain a protective order or other appropriate remedy from the proper authority in a timely manner and you are compelled to disclose Confidential Information, you shall furnish only that portion of the Confidential Information that is legally required to be disclosed and shall exercise all reasonable efforts to obtain reliable assurances that confidential treatment will be accorded the information disclosed.",3
"Whether during or the termination of your employment act with utmost fidelity and shall not disclose or divulge any such confidential information to third parties or make use of such information for your own benefit of he benefit of any third party, either during the term of your employment or thereafter.",3
"While on probation, this appointment may be terminated by either side by giving seven days notice, or seven days salary in lieu of notice period.",3
You shall also be bound to provide the company with one month notice prior to Resignation during which period you may have to actually work.,3
"In this role, you will be required to [briefly mention relevant job duties and responsibilities].",3
"Intellectual Property and Moral Rights 14.a Any and all Intellectual Property Rights you may have in any work, invention, discovery, improvement or design (‘Work’) produced or conceived by you in the course of your employment, at our direction or request, or in connection with any of our businesses or products or services, whether alone or jointly with another person, automatically vests in the Company without any requirement to make payment to you to the fullest extent permitted by law.",3
"If you are unable to clear the Stream training assessments in the given 3 attempts successfully, your services with the Company shall be terminated as per Clause 10 outlined in the Terms of Employment.",3
"Probation, Confirmation & Termination 2021 Edutech Solutions CONFIDENTIAL- This document is for the intendent recipient.",3
"5 Employees who have completed at least 4 years and 240 days of service (including weekends and paid holidays), are eligible for payment of Gratuity in accordance with the law and the Company’s policies.",3
"Step 2: Meet with the employee While it is best practice to meet with an employee towards the end of their probation period, there is not a legislative requirement to do so.",3
"Return of Company Property o You shall promptly upon request by the Company and in any event upon the expiry or termination of your employment return and surrender to Company laptop and other assigned assets, all such confidential information including without limitation, data , information, files, books, magazines, reports, documents, manuals, any knowledge database in whatever form including but not limited to electronically held data that concerns the business of the Company which may have been prepared by you or come into your possession custody or control in the course of your employment.",3
"Should you resign after confirmation, the Company will have the option to accept your resignation either with immediate effect, and pay you three months’ salary in lieu of notice period or accept it effective any day up to the end of the notice period and pay you salary for the remaining period from the acceptance of resignation till the end of the notice period.",3
"g You agree that if you are unable to perform your employment duties by reason of your continued ill-health or accident or disability for a period of 3 months or more, the Company may terminate your employment by providing you with one month’s written notice of termination, or notice required by law as then in effect, whichever is greater, or payment of one month's base salary in lieu of notice, in accordance with clause 8d above.",3
"Please note in the event that the employee leaves the organization within 6 months from the date of joining, all payments processed under Joining & Relocation Entitlements shall be recovered from the employee at the time of exit.",3
"f At any time after notice of termination is given by either party, the Company has the right to permanently relieve you from the performance of any and all duties of your position with the Company upon the continued payment of your base salary, as then in effect, for the duration of any notice period required.",3
A full commitment from employee side is expected during the training period.,2
About holiday list & Rules of the office:- you can get the details from your HR Manager or Office notice board.,2
4 Your duty to safeguard and not disclose ConfidenCal InformaCon will survive the expiraCon or terminaCon of this Agreement and/or your employment with the Company.,2
5 Breach of the condiCons of this clause will render you liable to summary dismissal under clause above in addiCon to any other remedy the Company may have against you in law.,2
 You will be eligible for Gratuity as per Payment of Gratuity Act.,2
Any deduction related to leave or holiday taken in excess of entitlement as at the date of termination of employment: and c.,2
"Any employee of Wipro to terminate their employment with Wipro or to accept employment with any competitor, supplier or any customer with whom you have a connection.",2
All notes and memoranda pertaining to this organization trade secrets and confidentialproprietary information made by or acquired by you during your employment shall always remain the propety of this organization.,2
All such policy decisions of the Company shall be binding on you and shall override this Agreement to that extent.,2
Any GHCLWEEK OFFSUNDAY falling in between continuous unapproved leaves shall be treated as unapproved leave as well and shall be treated as unpaid day.,2
"<REF NO: COMPANY NAME/DEPT/MMYYYY/EMPLOYEE NO> MM DD,YYYY <Name of the employee> <Location> Dear <Employee Name> Consequent to your probation review for the period _____ to ______, we are pleased to confirm your services in the organization w.e.f _____________.",2
e You may also terminate this agreement at any time by giving one month’s written notice of termination to the Company.,2
"c Notwithstanding the provisions of Section 19(4) of the Copyright Act, 1957, such assignment in so far as it relates to copyrightable material shall not lapse nor the rights transferred therein revert to you, even if the Company does not exercise the rights under the assignment within a period of one year from the date of assignment.",2
"c Under the terms of this Agreement, and without the need to terminate the employment relationship or to enter into a new agreement, the Company is permitted to assign you additional tasks, to modify or remove your assigned duties, to change your reporting lines or to change the place of your employment without additional compensation to you.",2
c You further understand that Confidential Information does not include any of the foregoing items which have become publicly known and made generally available through no wrongful act of your own or of others who were under confidentiality obligations as to the item or items involved or improvements or new versions thereof.,2
"d In the event that you are required by law, regulation or court order to disclose any Confidential Information, you shall promptly notify the Company in writing of such requirement without making any disclosure and assist the Company or the appropriate person obtain a protective order or other appropriate remedy from the proper authority.",2
Any customer or vendor of Wipro to move their existing business with Wipro to a third party or to terminate their business relationship with Wipro.,2
Please send a signed copy of this letter indicating your acceptance to join and resignation acceptance letter from your current employer to our HR.,2
"Posting & Transfer Your services are liable to be transferred, at the sole discretion of Management, in such other capacity as the company may determine, to any department / section, location, associate, sister concern or subsidiary, at any place in India or abroad, whether existing today or which may come up in future.",2
Probation That you will be on probation for a period of six months.,2
"Please note that we are not your recruiting or legal advisor, we are not responsible for the content of your job descriptions, and none of the information provided herein guarantees performance.",2
2 You are enCtled to [Sick Leave] working days of paid sick leave.,2
"Stock Options We will recommend to the Board of Directors of our parent company, Tekion Corp.",2
"Responsibilities & Duties Your work in the organization will be subject to the rules and regulations of the organization as laid down in relation to conduct, discipline and other matters.",2
"Salary revision Revision to your compensation will be after [one year] from the date of joining, subject to your satisfactory completion of the probation period.",2
"Policies, Procedures, Rules & Regulations You shall, in addition to the terms and conditions of employment specifically stated herein, also be governed by the rules, regulations and such other practices, systems, procedures and policies framed, amended, modified or omitted by the Company from time to time.",2
"The Company and you irrevocably submit to the exclusive jurisdiction of competent courts situated at Bangalore and waive any objection Tekion India Private Limited | #680, Fortuna-1, 8th Main, 15th Cross, JP Nagar 2nd Phase, Bangalore -560078, India www.tekion.com | www.linkedin.com/company/tekion/ | @tekioncorp | CIN: U72500KA2016FTC093023 to such proceedings on grounds of venue or on the grounds that the proceedings have been brought in an inconvenient forum.",2
"Termina7on 10.1 Your appointment can be terminated by the Company, without any reason, by giving you not less than [NoCce] months’ prior noCce in wriCng or salary in lieu thereof.",2
"Termination Your employment will be on an at-will basis, providing both you and the company with the flexibility to end the employment relationship at any time, with or without cause or notice.",2
Non-compliance to the code of conduct will lead to termination without notice and the management may (depending on the nature of violation) proceed with legal lawsuit.,2
"Nature of du7es You will perform to the best of your ability all the duCes as are inherent in your post and such addiConal duCes as the company may call upon you to perform, from Cme to Cme.",2
"The Company reserves the right to reduce, dispense with or extend your probation period at its absolute discretion.",2
The Company reserves the right to terminate your employment in case of any breach or non-compliance on your part of the terms of such agreement.,2
The Company shall withhold the appropriate amount of Indian income taxes from the salary paid to you.,2
"Course specialization includes but is not limited to Software Systems, Software Engineering, Information Technology, Computing Systems and Infrastructure Management, Data Analytics, IoT, Cloud, Digital & Cyber security, Embedded Systems.",2
"If the exigencies of work so require, the company may not leave you earlier than the expiry of the entire period of notice.",2
"I shall be present for the induction session on ANNEXURE I CONFIRMATION ON SHARING PERSONAL INFORMATION (AS REQUIRED UNDER INFORMATION TECHNOLOGY ACT, 2000) I ARNAB GHANTY, confirm that I am voluntarily sharing my Personal Information with Wipro Limited (‘Wipro’) being a part of WILP of Wipro for the following purposes: a.",2
I shall keep the contents of this document confidential.,2
I shall report for undergoing study on Terms & Conditions of Scholarship 1.,2
"Upon satisfactory completion of your probation, your services will be confirmed by written order of the Company.",2
"Upon termination of your employment, you shall return all notesmemoranda and any copies thereof to organization that you may have obtained during your employment.",2
"If you have, you will be liable for cancellation of enrolment from the WILP without any prior notice.",2
"In Hyderabad, India Google Services India Private Limited By _________________________ Sachin Pande HR Business Partner Senior Manager, GOC AGREED AND EXECUTED {{CANDIDATE_SIGNATURE}} Ekta Shukla Date: {{CANDIDATE_SIGNATURE_DATE}} DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 September 28, 2021 GOC Confidential • 14 Appendix A STANDARDS FOR REGULARIZATION OF EMPLOYMENT Attendance & Punctuality ● You must strictly observe scheduled workdays, work hours and break periods.",2
"In addition to the above, you are also eligible for medical insurance cover towards hospitalization.",2
"In addition, additional semesters fees are to be borne by you as prescribed by the University.",2
"If not confirmed after six months, this order will continue to be in operation, and the probation period will stand extended automatically till further notice.",2
We hope you will find the Company a great and rewarding place to be.,2
"We look forward to having a long and fruitful relationship with you at WILP, Wish you all the best! Yours sincerely, For Wipro Limited, Aparna Shailen General Manager - Human Resources Endorsement I accept the enrolment and the terms and conditions thereof as specified below.",2
"We look forward to onboard you soon! Regards, Global Campus Hiring Team Wipro Limited Wipro is taking steps to prevent fraudulent agencies from issuing fake offers letters by introducing digitally signed offer letters for campus recruits.",2
We look forward to welcoming you to our team.,2
"We are pleased to have you as a member of the Company, and we look forward to working with you.",2
"Upon resignation/termination of employment, you will also return all company property, which may be in your possession.",2
"For Google Services India Private Limited By Sachin Pande HR Business Partner Senior Manager, GOC AGREED AND EXECUTED {{CANDIDATE_SIGNATURE}} Ekta Shukla Date: {{CANDIDATE_SIGNATURE_DATE}} DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 September 28, 2021 GOC Confidential • 2 CONTRACT OF EMPLOYMENT This contract of employment (“Agreement”) is made and entered into between GOC Services India Private Limited, with its registered place of business at Meenakshi Technova , Survey No: 116, 117, 119, 128/AA and 129 Road No.",2
"Ekta Shukla, we are pleased that you are interested in GOC Services India Private Limited and we all look forward to working with you.",2
"Employee Invention Assignment and Confidentiality Agreement As a condition of your employment with the Company, on or prior to joining, you will be required to execute with the Company, an Employee Invention Assignment and Confidentiality Agreement, as per a draft provided by the Company.",2
"Employees are not entitled to any compensation for the loss, or prospective loss, of benefits arising from any employment action taken by the Company, including, without limitation, dismissal, and the Company’s rights to take such employment actions is not to be restricted or fettered by the existence of any benefit policy.",2
"As an employee of [Company Name], you are also eligible for our benefits program, which includes [medical insurance, 401(k), vacation time, etc.], and other benefits which will be described in more detail in the [employee handbook, orientation package, etc.].",2
"For the purpose of this clause, salary shall mean basic salary.",2
"Former Employer Information You hereby agree that you will not, during your employment with us, improperly use or disclose any proprietary information or trade secrets of any former or concurrent employer or other person or entity and that you will not bring onto our premises any unpublished document or proprietary information belonging to any such employer, person or entity unless consented to in writing by such employer, person or entity.",2
Full time employment Your position is a whole time employment with the Company and you shall devote yourself exclusively to the business and interests of the company.,2
"Except for the taxes and contributions mandated by law to be withheld by the Company or for the government filings required by law to be made by the Company in connection with the salary and other compensation and benefits arising from this employment, all other taxes and contributions and filings will be your responsibility and will be made by you.",2
"For DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 20 example, we may process medical or health information to administer sick pay, manage workplace accidents, to assess fitness for work, for insurance purposes and to comply with health and safety obligations.",2
You agree to cooperate in the execution of documents to facilitate the assignment of such intellectual property when required.,2
"You also confirm that in fulfilling your duties hereunder you will not be breaching any duty of confidentiality to any persons, including without limitation, your previous employers or principals.",2
"When you leave the Company, we will keep your employment record including as needed to protect us from legal claims and to satisfy our legal and compliance obligations.",2
"Without limiting the generality of the foregoing, you represent and covenant that you have not, and shall not, at any time, during your employment with the Company, pay, give, or offer or promise to pay or give, any money or any other thing of value, directly or indirectly, to, or for the benefit of: (i) any public servant, government official, political party or candidate for political office; or (ii) any other person, firm, corporation or other entity, with knowledge that some, or all of that money, or other thing of value will be paid, given, offered or promised to a public servant, government official, political party or candidate for political office, for the purpose of obtaining or retaining any business, or to obtain any other unfair advantage, in connection with the Company's business.",2
"Gratuity as per The Payment of Gratuity Act, 1972.",2
"You may also be called upon to attend academic study as and when required on holidays, as may be scheduled in accordance with the convenience of the organizing team of the WILP.",2
"You are eligible for a floater coverage of Rs 2, 00,000 per annum for family (self, spouse & children) towards hospitalization.",2
"You are required to treat this offer letter and its contents as strictly confidential and should not disclose the same to any person or entity (except to your advisors, attorneys and accountants) without our prior written consent.",2
"You further acknowledge and agree that you shall waive any right to and shall not raise any objection or claims to the Copyright Board with respect to the assignment, pursuant to Section 19A of the Copyright Act, 1957.",2
"You further represent and warrant that you will not make any facilitation payments, which are payments to induce government officials to perform routine functions they are otherwise obligated to perform.",2
"You acknowledge and agree DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 7 that violation of any such Company policy or law may lead to disciplinary action, up to and including immediate termination of your employment.",2
